player_id,version,name,full_name,description,image,height_cm,weight_kg,dob,positions,overall_rating,potential,value,wage,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause,specialities,club_id,club_name,club_league_id,club_league_name,club_logo,club_rating,club_position,club_kit_number,club_joined,club_contract_valid_until,country_id,country_name,country_league_id,country_league_name,country_flag,country_rating,country_position,country_kit_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,play_styles
239085,2024-05-01,Erling Braut Håland -,Erling Braut Håland,"Erling Haaland (Erling Braut Håland, born 21 July 2000) is a Norwegian footballer who plays as a striker for British club Manchester City, and the Norway national team. In the game FC 24, his overall rating is 91.",https://cdn.sofifa.net/players/239/085/24_120.png,195,94,2000-07-21,ST,91,94,€185M,€340K,Left,3 ,3 ,5 ,High/High,Unique,Yes,€356.1M,"Aerial threat,Distance shooter,Strength,Clinical finisher,Complete forward",10,Manchester City,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,85,ST,9,2022-07-01,2027,1352,Norway,78,Friendly International,https://cdn.sofifa.net/meta/team/18578/30.png,76,ST,9,47,96,83,77,90,79,77,62,63,82,82,94,78,94,72,94,93,76,93,86,87,43,96,74,86,87,38,47,29,7,14,13,11,7,"Acrobatic +, Power Header, Quick Step"
231866,2024-05-01,Rodri -,Rodrigo Hernández Cascante,"Rodri (born 22 June 1996) is a Spanish footballer who plays as a central defensive midfielder for British club Manchester City, and the Spain national team. In the game FC 24, his overall rating is 90.",https://cdn.sofifa.net/players/231/866/24_120.png,191,82,1996-06-22,"CDM,CM",90,92,€129.5M,€260K,Right,4 ,3 ,4 ,High/High,Normal (185+),Yes,€249.3M,"Engine,Distance shooter",10,Manchester City,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,85,RCM,16,2019-07-04,2027,1362,Spain,78,Friendly International,https://cdn.sofifa.net/meta/team/18710/30.png,83,CDM,16,71,74,81,92,59,84,83,63,90,90,63,65,68,93,67,92,83,89,83,88,85,84,76,84,62,87,92,87,78,10,10,7,14,8,"Power Shot +, Long Ball Pass, Bruiser, Aerial, Long Shot Taker (CPU AI), Solid Player"
231747,2024-05-01,Kylian Mbappé Lottin -,Kylian Mbappé Lottin,"Kylian Mbappé (Kylian Mbappé Lottin, born 20 December 1998) is a French footballer who plays as a striker for French club Paris Saint Germain, and the France national team. In the game FC 24, his overall rating is 91.",https://cdn.sofifa.net/players/231/747/24_120.png,182,75,1998-12-20,"ST,LW",91,94,€181.5M,€230K,Right,4 ,5 ,5 ,High/Low,Unique,Yes,€349.4M,"Speedster,Dribbler,Acrobat,Clinical finisher,Complete forward",73,Paris Saint Germain,16,Ligue 1,https://cdn.sofifa.net/meta/team/591/30.png,83,ST,7,2018-07-01,2024,1335,France,78,Friendly International,https://cdn.sofifa.net/meta/team/18647/30.png,84,LW,10,78,94,73,86,84,93,80,69,71,92,97,97,93,93,82,90,88,88,77,83,64,38,93,83,84,88,26,34,32,13,5,7,11,6,"Quick Step +, Finesse Shot, Rapid, Flair, Trivela, Acrobatic, Solid Player"
252371,2024-05-01,Jude Victor William Bellingham -,Jude Victor William Bellingham,"Jude Bellingham (Jude Victor William Bellingham, born 29 June 2003) is a British footballer who plays as a central attacking midfielder for Spanish club Real Madrid, and the England national team. In the game FC 24, his overall rating is 88.",https://cdn.sofifa.net/players/252/371/24_120.png,186,75,2003-06-29,"CAM,CM",88,92,€128.5M,€230K,Right,4 ,4 ,4 ,High/High,Normal (185+),Yes,€273.1M,"Dribbler,Playmaker,Engine,Clinical finisher,Complete midfielder,Complete forward",243,Real Madrid,53,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,85,CAM,5,2023-07-01,2029,1318,England,78,Friendly International,https://cdn.sofifa.net/meta/team/18645/30.png,85,LCM,10,66,87,69,89,74,88,73,56,87,87,81,80,82,89,79,79,81,93,75,80,85,82,88,87,64,85,77,79,77,14,11,10,5,8,"Relentless +, Intercept, Slide Tackle, Technical, Flair"
238794,2024-05-01,Vini Jr. -,Vinicius José Paixão de Oliveira Junior,"Vini Jr. (Vinicius José Paixão de Oliveira Junior, born 12 July 2000) is a Brazilian footballer who plays as a left winger for Spanish club Real Madrid. In the game FC 24, his overall rating is 89.",https://cdn.sofifa.net/players/238/794/24_120.png,176,73,2000-07-12,"LW,ST",89,94,€158.5M,€310K,Right,4 ,5 ,5 ,High/Medium,Lean (170-185),Yes,€336.8M,"Speedster,Dribbler,Acrobat,Clinical finisher,Complete forward",243,Real Madrid,53,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,85,LS,7,2018-07-12,2027,,,,,,,,,78,89,50,80,72,92,77,62,77,90,95,95,94,86,84,76,74,84,65,80,58,26,87,81,65,79,32,25,18,5,7,7,7,10,"Quick Step +, Finesse Shot, Chip Shot, Rapid, Flair, First Touch, Trivela"
202126,2024-05-01,Harry Edward Kane -,Harry Edward Kane,"Harry Kane (Harry Edward Kane, born 28 July 1993) is a British footballer who plays as a striker for German club FC Bayern München, and the England national team. In the game FC 24, his overall rating is 90.",https://cdn.sofifa.net/players/202/126/24_120.png,188,85,1993-07-28,ST,90,90,€119.5M,€170K,Right,5 ,3 ,5 ,High/High,Unique,Yes,€197.2M,"Distance shooter,Clinical finisher",21,FC Bayern München,19,Bundesliga,https://cdn.sofifa.net/meta/team/503/30.png,84,ST,9,2023-08-12,2027,1318,England,78,Friendly International,https://cdn.sofifa.net/meta/team/18645/30.png,85,ST,9,80,95,89,87,89,82,82,65,88,87,67,70,66,93,73,93,87,81,85,87,80,42,94,87,92,92,46,46,38,8,10,11,14,11,"Incisive Pass +, Long Ball Pass, First Touch, Trivela, Long Shot Taker (CPU AI)"
192985,2024-05-01,Kevin De Bruyne -,Kevin De Bruyne,"Kevin De Bruyne (born 28 June 1991) is a Belgian footballer who plays as a center midfield for British club Manchester City, and the Belgium national team. In the game FC 24, his overall rating is 91.",https://cdn.sofifa.net/players/192/985/24_120.png,181,75,1991-06-28,"CM,CAM",91,91,€103M,€350K,Right,5 ,4 ,5 ,High/Medium,Unique,Yes,€190.6M,"Dribbler,Playmaker,Distance shooter,Crosser,Complete midfielder",10,Manchester City,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,85,CAM,17,2015-08-30,2025,1325,Belgium,78,Friendly International,https://cdn.sofifa.net/meta/team/18743/30.png,81,CAM,7,95,85,55,94,83,86,92,83,94,92,74,74,76,92,78,92,73,88,75,92,75,66,88,95,83,88,66,70,53,15,13,5,10,13,"Incisive Pass +, Dead Ball, Pinged Pass, Long Ball Pass, Whipped Cross, Trivela, Long Shot Taker (CPU AI), Injury Prone, Leadership"
231478,2024-05-01,Lautaro Javier Martínez -,Lautaro Javier Martínez,"Lautaro Martínez (Lautaro Javier Martínez, born 22 August 1997) is an Argentine footballer who plays as a striker for Italian club Inter, and the Argentina national team. In the game FC 24, his overall rating is 88.",https://cdn.sofifa.net/players/231/478/24_120.png,174,72,1997-08-22,ST,88,90,€116M,€180K,Right,4 ,4 ,3 ,High/Medium,Unique,Yes,€205.9M,Acrobat,44,Inter,31,Serie A,https://cdn.sofifa.net/meta/team/2930/30.png,82,LS,10,2018-07-05,2026,1369,Argentina,78,Friendly International,https://cdn.sofifa.net/meta/team/18644/30.png,83,SUB,22,60,91,86,75,91,85,78,54,73,88,83,77,88,90,89,85,93,80,84,78,90,45,91,78,74,88,55,31,44,11,8,8,8,13,"Technical, Flair, Trivela"
230621,2024-05-01,Gianluigi Donnarumma -,Gianluigi Donnarumma,"Gianluigi Donnarumma (born 25 February 1999) is an Italian footballer who plays as a goalkeeper for French club Paris Saint Germain, and the Italy national team. In the game FC 24, his overall rating is 87.",https://cdn.sofifa.net/players/230/621/24_120.png,196,90,1999-02-25,GK,87,90,€85M,€90K,Right,3 ,1 ,3 ,Medium/Medium,Unique,Yes,€163.6M,,73,Paris Saint Germain,16,Ligue 1,https://cdn.sofifa.net/meta/team/591/30.png,83,GK,99,2021-07-15,2026,1343,Italy,78,Friendly International,https://cdn.sofifa.net/meta/team/18658/30.png,82,GK,1,12,12,12,36,8,28,12,14,34,30,50,55,57,81,38,55,72,39,75,18,30,26,14,60,24,65,20,14,16,90,81,73,83,89,"Cross Claimer, Rush Out"
222665,2024-05-01,Martin Ødegaard -,Martin Ødegaard,"Martin Ødegaard (born 17 December 1998) is a Norwegian footballer who plays as a central attacking midfielder for British club Arsenal, and the Norway national team. In the game FC 24, his overall rating is 87.",https://cdn.sofifa.net/players/222/665/24_120.png,178,68,1998-12-17,"CAM,CM",87,90,€109M,€170K,Left,2 ,5 ,4 ,High/Medium,Lean (170-185),Yes,€209.8M,"Dribbler,Playmaker,Crosser,Complete midfielder",1,Arsenal,13,Premier League,https://cdn.sofifa.net/meta/team/19/30.png,83,RCM,8,2021-08-20,2028,1352,Norway,78,Friendly International,https://cdn.sofifa.net/meta/team/18578/30.png,76,RCM,10,86,83,55,90,79,87,84,85,88,89,74,71,85,84,83,82,66,85,56,84,64,66,83,90,68,87,67,59,57,14,15,15,8,10,"Incisive Pass +, Pinged Pass, Whipped Cross, Technical, Flair, First Touch, Trivela, Solid Player, Leadership"
