stat,n_missing,n_total,missing_pct,n_zero,zero_pct,missing_or_zero_pct
away_prematch_xg,1637,30741,5.325135812107609,1637,5.325135812107609,5.325135812107609
home_prematch_xg,1637,30741,5.325135812107609,1637,5.325135812107609,5.325135812107609
away_attacks,376,30741,1.2231222146319247,376,1.2231222146319247,1.2231222146319247
home_attacks,376,30741,1.2231222146319247,376,1.2231222146319247,1.2231222146319247
home_dangerous_attacks,375,30741,1.219869230018542,375,1.219869230018542,1.219869230018542
away_dangerous_attacks,375,30741,1.219869230018542,375,1.219869230018542,1.219869230018542
away_fouls,180,30741,0.5855372304089002,107,0.34806935363195735,0.5855372304089002
home_fouls,169,30741,0.5497543996616896,96,0.31228652288474673,0.5497543996616896
away_total_shots,79,30741,0.2569857844572395,32,0.10409550762824892,0.2569857844572395
home_total_shots,62,30741,0.20168504602973228,15,0.04879476920074168,0.20168504602973228
away_shots_off_target,48,30741,0.15614326144237337,0,0.0,0.15614326144237337
away_shots_on_target,48,30741,0.15614326144237337,0,0.0,0.15614326144237337
home_shots_on_target,48,30741,0.15614326144237337,0,0.0,0.15614326144237337
home_shots_off_target,48,30741,0.15614326144237337,0,0.0,0.15614326144237337
home_possession,42,30741,0.1366253537620767,0,0.0,0.1366253537620767
away_possession,42,30741,0.1366253537620767,0,0.0,0.1366253537620767
home_corners,38,30741,0.1236134153085456,0,0.0,0.1236134153085456
away_corners,38,30741,0.1236134153085456,0,0.0,0.1236134153085456
home_red_cards,4,30741,0.013011938453531114,0,0.0,0.013011938453531114
away_yellow_cards,4,30741,0.013011938453531114,0,0.0,0.013011938453531114
away_red_cards,4,30741,0.013011938453531114,0,0.0,0.013011938453531114
home_yellow_cards,4,30741,0.013011938453531114,0,0.0,0.013011938453531114
away_xg,0,30741,0.0,0,0.0,0.0
home_xg,0,30741,0.0,0,0.0,0.0
